pickup,delivery,distance,equipment,weight,date,predicted_rate
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-01,843.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-02,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-03,860.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-04,855.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-05,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-06,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-07,848.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-08,843.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-09,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-10,860.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-11,855.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-12,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-13,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-14,848.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-15,843.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-16,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-17,860.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-18,855.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-19,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-20,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-21,848.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-22,843.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-23,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-24,860.46
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-25,855.65
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-26,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-27,849.01
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-28,848.56
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-29,843.28
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-30,849.61
Lexington,Fort Wayne,360,Dry Van,32000,2025-12-31,860.46
